Component RT,Base Peak MZ,Component Area,Compound Name,Match Factor,File Name
4.40869925458094,43.07,82743.7741153913,"Pentane, 3-ethyl-",79.5346558301533,T5-9.D
4.40873231544309,43,62133.9188024392,Pyrrolidine,82.954710214544,T5-9.D
4.40893742141613,71,48667.1720257449,"2,2'-Bifuran, octahydro-",89.0395226077833,T3-4.D
4.40927181473096,71.1,53434.2703564671,"2,2'-Bifuran, octahydro-",79.2948659010269,T3-10.D
4.40942764481797,43.05,65959.0600525064,Pyrrolidine,89.3132037691916,T3-1.D
4.40981434127256,43.05,74150.5021591913,"Pentane, 3-ethyl-",92.6877946014126,T4-8.D
4.40995276238513,43.08,51004.0074887863,"Pentane, 3-ethyl-",78.1906542553421,T1-1.D
4.41016632112188,43,46868.6276272447,Pyrrolidine,82.7625056599684,T1-3.D
4.41034492471416,43.07,55460.6861846581,Pyrrolidine,81.7818170112313,T2-3.D
4.41075636775765,43,61531.2289953204,Pyrrolidine,83.6295385502216,T3-8.D
4.41090113337366,43.08,82669.0452238446,"Pentane, 3-ethyl-",79.4732926726176,T6-9.D
4.41094499420236,43,59279.2908346676,Pyrrolidine,81.9305127605266,T6-9.D
4.41101302680198,43,55399.6897067824,"Pentane, 3-ethyl-",88.4186143730347,T6-3.D
4.41102389805478,71,66343.7946835524,"2,2'-Bifuran, octahydro-",89.1768241814574,T4-5.D
4.41136213833227,43.07,85847.9912803547,"Pentane, 3-ethyl-",92.9789956320122,T1-2.D
4.41160600685472,71.08,67349.8566792397,"Pentane, 3-ethyl-",93.4358980164409,T5-1.D
4.41176136764741,43.07,55687.8283284134,Pyrrolidine,82.0619034514656,T2-10.D
4.4118414974513,43.09,53270.5626354097,Pyrrolidine,82.5170236276315,T1-10.D
4.41194979812142,43.08,44931.2873002327,"Pentane, 3-ethyl-",79.951335503028,T5-7.D
4.41245860873395,43.05,60308.8395256476,"Pentane, 3-ethyl-",88.8913225878658,T1-4.D
4.41255526721359,43,53535.3551674882,Pyrrolidine,83.825441431462,T1-5.D
4.4129886198186,43,81916.885683264,"Pentane, 3-ethyl-",93.6466055192783,T3-6.D
4.41302361682295,43,65337.8625709392,"Pentane, 3-ethyl-",92.5988278997567,T5-5.D
4.41365012247428,43,61802.3520590824,Pyrrolidine,84.3207749697202,T4-1.D
4.41381062601494,43.07,51304.7756244631,"2,2'-Bifuran, octahydro-",88.8276448976777,T4-4.D
4.41383283971051,43.08,61016.52491925,"Pentane, 3-ethyl-",80.3834840263428,T5-3.D
4.41388253152924,43,56218.9572678138,"Pentane, 3-ethyl-",80.227973742504,T3-3.D
4.41391254824463,71.09,49294.9239821038,Pyrrolidine,82.0176077692116,T3-5.D
4.41393220282713,71.1,60742.3458532009,"2,2'-Bifuran, octahydro-",88.5965442205074,T3-7.D
4.41404807814947,43.06,74201.2832495966,"Pentane, 3-ethyl-",89.0084435781124,T4-2.D
4.41449322610986,71.09,60110.7379028413,Pyrrolidine,82.7840176538128,T1-8.D
4.41517418743178,43.06,58277.5371361862,Pyrrolidine,89.4598179899337,T2-1.D
4.41576495683686,43.07,174893.42859731,"2,2-Dimethylperhydro-1,3-oxazine",75.3266733017143,T4-3.D
4.41596110236192,71,55613.535221839,"Pentane, 3-ethyl-",82.6609027193884,T4-3.D
4.41599666540393,71,82609.5674161797,"Pentane, 3-ethyl-",92.8939879565682,T2-6.D
4.41608958693182,43.06,69466.1109349156,"Pentane, 3-ethyl-",88.7825102146091,T6-8.D
4.41617314683053,43.07,62386.6865629902,Pyrrolidine,85.123156226771,T5-10.D
4.41628581487971,71,77315.4474349311,"Pentane, 3-ethyl-",92.617368631918,T3-9.D
4.41786311472184,43,61453.0361827432,Pyrrolidine,89.8695775563296,T6-7.D
4.41788216223236,43.07,84628.1294036486,Pyrrolidine,85.0641074295911,T2-2.D
4.41813871390244,43.05,76441.9222702411,Pyrrolidine,89.9068254733807,T2-5.D
4.41859611275149,71,55300.2492029046,"Pentane, 3-ethyl-",75.53679145466,T4-10.D
4.41877229033442,43,72128.1041369328,"Pentane, 3-ethyl-",92.1140240516406,T6-6.D
4.41916904028996,43,65901.7444673607,"Pentane, 3-ethyl-",92.7803923369348,T1-7.D
4.41934623612103,43,62457.2286294198,Pyrrolidine,81.8048945965908,T4-7.D
4.42058362363519,43,64585.3089388252,Pyrrolidine,83.6584462257896,T6-10.D
4.42112856697916,43,83643.6213942842,Pyrrolidine,90.4640329213171,T3-2.D
4.42748867785995,83.09,33151.0001732657,"Methane, dichloronitro-",90.2020414710985,T3-8.D
4.42899716648205,83,23040.1515678499,"Methane, dichloronitro-",90.2411208009605,T3-3.D
4.42979306585828,83,19923.0055872544,Trichloromethane,82.6128237285399,T2-5.D
4.43103427089788,83.09,17667.7340458833,Trichloromethane,81.5689761385385,T5-5.D
4.43127629798626,83.09,19864.2341625017,Trichloromethane,76.9581881940486,T3-4.D
4.43286662831454,83,11583.4396738753,Trichloromethane,80.0487019624718,T6-6.D
4.45851540284836,43.05,38702.7804796119,"Pentane, 3,3-dimethyl-",75.2793382170537,T4-9.D
4.4692850206374,43.07,51813.9095596063,"Pentane, 3,3-dimethyl-",76.6670721130684,T5-8.D
4.47047994832109,43.06,67503.9028773538,"Pentane, 2,3,3-trimethyl-",93.7718308449824,T4-6.D
4.47907699242706,57,55686.506470198,"Hexane, 3,3-dimethyl-",90.7342246926731,T6-4.D
4.47941825447131,57.07,76354.0811951093,"Pentane, 2,3,3-trimethyl-",87.6146300282319,T6-4.D
4.48046550073637,43.07,58473.1212542311,"Pentane, 3,3-dimethyl-",75.8297760955182,T1-9.D
4.48200041360791,43,59295.5354668993,"Pentane, 3,3-dimethyl-",84.3947615922002,T1-6.D
4.48234499375873,43,88499.70972702,"Pentane, 2,3,3-trimethyl-",83.0630978591466,T2-8.D
4.48251368941997,43.07,69390.0361526132,"Pentane, 3,3-dimethyl-",86.4300739387866,T2-8.D
4.48460291150776,43.07,50089.8729399666,"Pentane, 3,3-dimethyl-",75.4714919648321,T6-1.D
4.48579166274837,43.07,47991.9634850609,"Pentane, 3,3-dimethyl-",77.6673256750889,T2-9.D
4.48680966657724,43.05,40251.0196327772,"Pentane, 3,3-dimethyl-",75.65731356232,T5-4.D
4.48806709504667,43.09,52435.6482243252,"Pentane, 3,3-dimethyl-",76.9066921281493,T6-5.D
4.48860967514647,43,86955.835666964,"Pentane, 2,3,3-trimethyl-",91.0272944178754,T2-4.D
4.48863301924233,43.07,56042.2931006398,"Hexane, 3,3-dimethyl-",80.9663006935788,T2-7.D
4.48917153778704,43.05,49505.608962594,"Pentane, 3,3-dimethyl-",84.9915632324453,T3-4.D
4.48929400017293,43.08,46086.373408313,"Pentane, 3,3-dimethyl-",75.6895181980624,T3-10.D
4.48948178915357,43.07,70793.2981001677,"Pentane, 3,3-dimethyl-",82.0455611304295,T5-9.D
4.48964329035897,43.05,55917.2688069368,"Pentane, 3,3-dimethyl-",85.32265840251,T3-1.D
4.48995139094488,57,101262.326874144,"Pentane, 2,3,3-trimethyl-",85.8329126467545,T4-8.D
4.4903410888468,43.07,52864.362190262,"Pentane, 3,3-dimethyl-",77.4884345405454,T2-3.D
4.49069116591579,43,44970.5833612354,"Pentane, 3,3-dimethyl-",77.6907869565508,T1-3.D
4.4907565507525,43,50426.4406484373,"Pentane, 3,3-dimethyl-",77.9460554736091,T3-8.D
4.49099611854938,43,69729.2315491048,"Pentane, 3,3-dimethyl-",82.8269990721415,T4-5.D
